Date,Price,Open,High,Low,Change %
10/17/2005,"7,845.84","7,780.84","7,864.52","7,737.37",0.78%
10/16/2005,"7,785.39","7,736.73","7,793.47","7,732.45",0.66%
10/15/2005,"7,734.45","7,678.74","7,755.96","7,677.53",0.73%
10/13/2005,"7,678.74","7,550.71","7,682.75","7,546.76",1.72%
10/12/2005,"7,548.68","7,666.81","7,666.81","7,501.15",-1.63%
10/11/2005,"7,673.63","7,763.74","7,767.03","7,667.43",-1.18%
10/10/2005,"7,764.95","7,769.51","7,812.16","7,731.30",-0.06%
10/09/2005,"7,769.51","7,746.09","7,774.91","7,717.29",0.33%
10/08/2005,"7,743.81","7,643.02","7,773.52","7,643.02",1.38%
10/06/2005,"7,638.47","7,517.60","7,649.97","7,517.20",1.64%
10/05/2005,"7,515.33","7,358.58","7,588.25","7,311.76",2.10%
10/04/2005,"7,360.85","7,573.41","7,583.26","7,357.25",-2.78%
10/03/2005,"7,571.14","7,695.72","7,700.42","7,558.15",-1.68%
10/02/2005,"7,700.27","7,784.72","7,788.40","7,684.67",-1.11%
10/01/2005,"7,787.00","7,783.88","7,838.80","7,766.02",0.08%
09/29/2005,"7,780.97","7,776.15","7,798.63","7,741.56",0.00%
09/28/2005,"7,781.00","7,864.93","7,907.15","7,761.47",-1.01%
09/27/2005,"7,860.38","7,697.66","7,860.38","7,697.66",2.02%
09/26/2005,"7,704.49","7,816.60","7,821.16","7,562.29",-1.55%
09/25/2005,"7,825.71","7,925.72","7,993.59","7,819.42",-1.29%
09/24/2005,"7,928.00","7,958.58","7,983.97","7,922.91",-0.36%
09/22/2005,"7,956.31","7,829.75","7,957.43","7,787.19",1.62%
09/21/2005,"7,829.75","8,000.48","8,055.06","7,807.18",-2.08%
09/20/2005,"7,995.93","7,993.04","8,035.66","7,948.74",0.15%
09/19/2005,"7,983.94","8,125.32","8,189.43","7,935.09",-1.77%
09/18/2005,"8,127.60","8,079.89","8,187.05","8,075.34",0.70%
09/17/2005,"8,070.79","7,757.02","8,089.53","7,757.02",2.48%
09/15/2005,"7,875.45","7,844.91","7,949.32","7,835.95",0.51%
09/14/2005,"7,835.67","7,740.94","7,931.51","7,736.99",1.25%
09/13/2005,"7,738.63","7,584.15","7,754.85","7,584.15",2.13%
09/12/2005,"7,577.21","7,563.79","7,621.79","7,557.78",0.15%
09/11/2005,"7,566.10","7,558.40","7,652.05","7,545.24",0.10%
09/10/2005,"7,558.40","7,535.35","7,618.69","7,533.78",0.24%
09/08/2005,"7,539.97","7,557.30","7,680.18","7,539.97",-0.23%
09/07/2005,"7,557.30","7,447.10","7,584.35","7,442.38",1.48%
09/06/2005,"7,447.10","7,325.12","7,456.35","7,261.42",1.63%
09/05/2005,"7,327.43","7,365.79","7,368.72","7,284.60",-0.55%
09/04/2005,"7,368.10","7,457.65","7,508.27","7,363.48",-1.14%
09/03/2005,"7,453.03","7,301.68","7,493.54","7,301.68",2.43%
09/01/2005,"7,276.27","7,142.41","7,283.86","6,949.69",1.71%
08/30/2005,"7,153.96","7,358.84","7,381.93","7,146.20",-2.75%
08/29/2005,"7,356.52","7,318.43","7,419.21","7,206.57",0.81%
08/28/2005,"7,297.63","7,349.37","7,477.41","7,290.94",-0.64%
08/27/2005,"7,344.75","7,146.05","7,421.70","7,146.05",2.85%
08/25/2005,"7,141.43","7,238.12","7,281.56","7,126.42",-1.24%
08/24/2005,"7,231.19","7,104.30","7,252.52","7,091.45",1.89%
08/23/2005,"7,097.37","6,986.23","7,181.52","6,965.53",1.62%
08/22/2005,"6,983.92","7,210.14","7,367.66","6,950.72",-3.06%
08/21/2005,"7,204.59","6,935.37","7,219.46","6,935.37",3.95%
08/20/2005,"6,930.75","6,710.46","6,934.44","6,638.10",3.32%
08/18/2005,"6,708.15","6,737.98","6,813.22","6,663.30",-0.34%
08/17/2005,"6,731.05","6,559.40","6,748.49","6,559.40",2.65%
08/16/2005,"6,557.09","6,467.91","6,557.09","6,465.12",1.60%
08/15/2005,"6,454.04","6,446.89","6,504.56","6,415.13",0.15%
08/14/2005,"6,444.58","6,508.99","6,561.23","6,430.48",-0.99%
08/13/2005,"6,508.99","6,371.24","6,522.52","6,369.39",2.20%
08/11/2005,"6,368.93","6,262.33","6,369.43","6,262.33",1.77%
08/10/2005,"6,258.17","6,088.91","6,297.06","6,085.21",2.94%
08/09/2005,"6,079.67","6,073.16","6,128.47","6,044.29",0.04%
08/08/2005,"6,077.32","6,099.76","6,164.09","6,043.67",-0.39%
08/07/2005,"6,101.15","5,985.46","6,171.24","5,985.46",2.47%
08/06/2005,"5,954.03","5,793.38","5,997.61","5,793.38",3.03%
08/04/2005,"5,779.05","5,669.91","5,787.58","5,669.91",1.95%
08/03/2005,"5,668.53","5,526.32","5,684.32","5,526.32",2.68%
08/02/2005,"5,520.78","5,501.54","5,522.61","5,478.65",0.39%
08/01/2005,"5,499.23","5,569.53","5,576.61","5,428.15",-1.25%
07/31/2005,"5,568.61","5,592.12","5,606.52","5,520.23",-0.55%
07/30/2005,"5,599.51","5,708.40","5,720.72","5,560.32",-1.67%
07/28/2005,"5,694.54","5,690.09","5,786.65","5,636.09",0.08%
07/27/2005,"5,690.09","5,482.21","5,708.66","5,482.21",3.86%
07/26/2005,"5,478.75","5,294.24","5,510.88","5,288.55",3.37%
07/25/2005,"5,300.01","5,160.92","5,306.26","4,850.24",2.49%
07/24/2005,"5,171.32","5,620.24","5,622.30","5,088.18",-7.91%
07/23/2005,"5,615.62","5,721.47","5,745.71","5,587.53",1.67%
07/21/2005,"5,523.11","5,596.20","5,670.99","5,491.09",-1.43%
07/20/2005,"5,603.13","5,876.98","5,905.86","5,573.36",-4.58%
07/19/2005,"5,872.36","5,617.77","5,872.36","5,617.77",4.73%
07/18/2005,"5,607.37","5,686.88","5,702.42","5,547.77",-1.46%
07/17/2005,"5,690.35","5,814.24","5,894.69","5,565.66",-2.09%
07/16/2005,"5,811.93","5,856.16","5,894.98","5,779.81",-0.72%
07/14/2005,"5,853.85","5,884.67","5,990.99","5,847.11",-0.50%
07/13/2005,"5,883.52","5,844.86","6,105.63","5,844.86",-2.12%
07/12/2005,"6,011.15","5,621.53","6,039.36","5,574.39",6.93%
07/11/2005,"5,621.53","5,875.75","5,877.43","5,493.82",-4.33%
07/10/2005,"5,875.75","6,144.70","6,144.70","5,859.79",-4.58%
07/09/2005,"6,157.77","6,214.52","6,313.27","6,133.40",-0.86%
07/07/2005,"6,210.96","6,083.85","6,270.38","6,083.85",2.49%
07/06/2005,"6,060.29","6,232.22","6,287.61","5,873.86",-2.74%
07/05/2005,"6,231.03","6,475.55","6,491.39","6,231.03",-3.83%
07/04/2005,"6,479.11","6,621.71","6,621.71","6,434.45",-2.21%
07/03/2005,"6,625.28","6,715.70","6,747.02","6,616.21",-1.31%
07/02/2005,"6,713.32","6,672.78","6,749.43","6,672.78",0.61%
06/30/2005,"6,672.78","6,554.24","6,677.16","6,554.11",2.40%
06/29/2005,"6,516.40","6,628.09","6,628.09","6,449.80",-1.76%
06/28/2005,"6,633.21","6,825.42","6,857.88","6,588.26",-2.68%
06/27/2005,"6,816.20","6,784.01","6,847.10","6,778.40",0.60%
06/26/2005,"6,775.81","6,696.59","6,798.57","6,694.54",1.31%
06/25/2005,"6,688.40","6,514.45","6,763.39","6,514.45",2.69%
06/23/2005,"6,513.42","6,394.20","6,557.00","6,390.34",1.93%
06/22/2005,"6,390.10","6,364.80","6,464.45","6,364.80",0.40%
06/21/2005,"6,364.80","6,335.59","6,399.86","6,300.79",0.46%
06/20/2005,"6,335.59","6,356.86","6,486.51","6,333.08",-0.33%
06/19/2005,"6,356.86","6,358.43","6,425.53","6,349.28",0.61%
06/18/2005,"6,318.38","6,305.57","6,587.62","6,224.50",0.73%
06/16/2005,"6,272.40","5,913.85","6,346.10","5,913.85",6.14%
06/15/2005,"5,909.66","5,660.41","5,922.94","5,658.36",4.57%
06/14/2005,"5,651.19","5,693.93","5,827.15","5,514.47",-0.84%
06/13/2005,"5,699.05","5,820.48","5,979.46","5,645.43",-2.34%
06/12/2005,"5,835.85","5,634.20","5,859.06","5,634.20",3.82%
06/11/2005,"5,620.87","5,364.48","5,627.07","5,364.48",4.80%
06/08/2005,"5,363.46","5,331.64","5,381.45","5,240.17",0.75%
06/07/2005,"5,323.44","5,302.65","5,350.59","5,291.09",0.45%
06/06/2005,"5,299.57","5,185.03","5,299.57","5,185.03",2.25%
06/05/2005,"5,182.98","5,189.63","5,259.23","5,142.84",-0.04%
06/04/2005,"5,185.12","5,001.63","5,218.51","5,001.63",3.72%
06/02/2005,"4,999.17","4,955.73","5,001.54","4,948.47",0.90%
06/01/2005,"4,954.71","4,980.99","4,997.20","4,952.17",-0.53%
05/31/2005,"4,980.99","4,964.12","5,002.36","4,918.51",0.34%
05/30/2005,"4,963.92","4,981.48","5,014.65","4,924.42",-0.37%
05/29/2005,"4,982.30","4,974.15","5,043.70","4,968.68",0.18%
05/28/2005,"4,973.33","5,065.01","5,082.51","4,968.89",-1.75%
05/26/2005,"5,062.14","4,936.07","5,069.99","4,935.63",2.33%
05/25/2005,"4,946.93","4,904.29","4,977.96","4,900.47",0.91%
05/24/2005,"4,902.24","4,908.34","4,937.88","4,862.77",-0.09%
05/23/2005,"4,906.70","4,892.27","4,950.39","4,864.60",0.33%
05/22/2005,"4,890.63","4,797.81","4,890.63","4,797.81",1.95%
05/21/2005,"4,797.19","4,730.23","4,812.14","4,730.23",1.40%
05/19/2005,"4,731.05","4,707.40","4,740.32","4,696.23",0.50%
05/18/2005,"4,707.40","4,722.72","4,727.85","4,685.60",-0.40%
05/17/2005,"4,726.20","4,784.60","4,797.50","4,723.69",-1.22%
05/16/2005,"4,784.40","4,803.33","4,843.20","4,776.93",-0.30%
05/15/2005,"4,798.82","4,790.50","4,847.99","4,786.08",0.19%
05/14/2005,"4,789.68","4,752.41","4,826.40","4,749.23",0.78%
05/12/2005,"4,752.41","4,735.72","4,752.41","4,647.84",0.33%
05/11/2005,"4,736.95","4,879.52","4,895.96","4,726.06",-2.91%
05/10/2005,"4,878.79","4,927.89","5,000.37","4,868.08",-0.98%
05/09/2005,"4,927.07","4,817.30","4,932.32","4,817.30",2.35%
05/08/2005,"4,814.02","4,608.83","4,819.52","4,607.53",4.46%
05/07/2005,"4,608.62","4,704.20","4,704.20","4,384.16",-2.12%
05/05/2005,"4,708.30","4,910.58","4,937.44","4,684.89",-4.13%
05/04/2005,"4,910.99","4,995.35","4,995.35","4,833.36",-1.60%
05/03/2005,"4,990.98","5,081.29","5,117.01","4,974.58",-1.75%
05/02/2005,"5,079.85","5,122.12","5,215.26","5,070.28",-0.72%
05/01/2005,"5,116.79","4,946.95","5,126.81","4,946.52",3.52%
04/30/2005,"4,942.65","4,878.94","4,956.69","4,878.94",1.37%
04/28/2005,"4,875.86","4,804.63","4,888.72","4,804.63",1.51%
04/27/2005,"4,803.20","4,786.46","4,822.24","4,743.15",0.36%
04/26/2005,"4,786.05","4,803.57","4,830.71","4,773.45",-0.34%
04/25/2005,"4,802.34","4,789.05","4,854.91","4,769.64",0.30%
04/24/2005,"4,787.82","4,640.98","4,789.13","4,640.98",3.17%
04/23/2005,"4,640.57","4,615.99","4,677.65","4,615.99",0.57%
04/20/2005,"4,614.35","4,542.69","4,662.44","4,542.69",1.58%
04/19/2005,"4,542.69","4,387.08","4,573.78","4,374.41",3.51%
04/18/2005,"4,388.52","4,312.92","4,395.39","4,284.44",1.70%
04/17/2005,"4,314.97","4,352.59","4,376.84","4,314.97",-0.86%
04/16/2005,"4,352.59","4,383.12","4,394.52","4,335.16",-0.70%
04/14/2005,"4,383.12","4,351.83","4,393.75","4,336.80",0.74%
04/13/2005,"4,350.81","4,233.77","4,355.72","4,233.77",2.76%
04/12/2005,"4,233.77","4,083.90","4,237.34","4,083.90",3.59%
04/11/2005,"4,086.97","4,036.73","4,098.25","4,008.43",1.24%
04/10/2005,"4,036.93","4,070.79","4,225.53","4,026.68",-0.63%
04/09/2005,"4,062.59","3,782.36","4,065.77","3,782.36",7.79%
04/07/2005,"3,769.04","3,692.96","3,784.58","3,692.96",2.07%
04/06/2005,"3,692.76","3,638.54","3,692.76","3,638.54",1.51%
04/05/2005,"3,637.72","3,597.91","3,645.61","3,594.44",1.08%
04/04/2005,"3,598.73","3,557.44","3,606.79","3,557.44",1.14%
04/03/2005,"3,558.06","3,544.62","3,558.61","3,532.32",0.38%
04/02/2005,"3,544.42","3,492.29","3,550.85","3,492.29",1.53%
03/31/2005,"3,491.06","3,453.94","3,498.64","3,453.39",1.09%
03/30/2005,"3,453.32","3,450.96","3,474.03","3,439.72",0.07%
03/29/2005,"3,450.96","3,398.47","3,455.64","3,393.63",1.53%
03/28/2005,"3,398.88","3,387.05","3,421.35","3,375.95",0.32%
03/27/2005,"3,387.87","3,412.31","3,423.59","3,382.83",-0.73%
03/26/2005,"3,412.92","3,482.84","3,500.23","3,398.82",-2.05%
03/24/2005,"3,484.28","3,519.59","3,519.90","3,461.34",-1.00%
03/23/2005,"3,519.43","3,498.94","3,548.02","3,497.21",0.58%
03/22/2005,"3,499.14","3,464.23","3,506.53","3,464.23",1.00%
03/21/2005,"3,464.64","3,474.97","3,485.09","3,456.19",-0.29%
03/20/2005,"3,474.56","3,459.54","3,499.72","3,459.32",0.43%
03/19/2005,"3,459.54","3,459.24","3,483.65","3,458.17",0.01%
03/17/2005,"3,459.03","3,447.17","3,476.87","3,447.17",0.30%
03/16/2005,"3,448.81","3,446.15","3,476.34","3,433.10",0.63%
03/15/2005,"3,427.13","3,412.22","3,457.83","3,412.22",0.44%
03/14/2005,"3,412.22","3,412.30","3,436.33","3,406.31",-0.03%
03/13/2005,"3,413.12","3,377.34","3,438.91","3,377.34",1.06%
03/12/2005,"3,377.34","3,317.34","3,408.19","3,316.90",1.84%
03/10/2005,"3,316.31","3,288.23","3,326.59","3,288.02",0.82%
03/09/2005,"3,289.25","3,251.64","3,295.83","3,229.54",1.46%
03/08/2005,"3,241.77","3,225.64","3,265.20","3,218.76",0.53%
03/07/2005,"3,224.62","3,191.74","3,236.64","3,191.74",1.05%
03/06/2005,"3,191.19","3,176.19","3,203.57","3,147.80",0.49%
03/05/2005,"3,175.58","3,081.99","3,180.31","3,081.11",3.00%
03/03/2005,"3,083.02","3,095.16","3,132.78","3,072.98",-0.32%
03/02/2005,"3,092.91","3,022.90","3,109.85","3,022.90",2.36%
03/01/2005,"3,021.47","2,916.17","3,039.11","2,913.04",3.61%
02/28/2005,"2,916.16","2,913.58","2,944.48","2,905.67",0.11%
02/27/2005,"2,912.97","2,848.13","2,920.00","2,845.47",2.39%
02/26/2005,"2,844.85","2,794.11","2,860.36","2,794.11",1.84%
02/24/2005,"2,793.49","2,754.01","2,805.84","2,753.81",1.43%
02/23/2005,"2,754.21","2,705.29","2,754.29","2,704.28",1.83%
02/22/2005,"2,704.67","2,718.99","2,735.42","2,700.99",-0.55%
02/21/2005,"2,719.65","2,747.95","2,756.67","2,718.80",-1.04%
02/20/2005,"2,748.16","2,729.09","2,765.02","2,729.09",0.74%
02/19/2005,"2,728.06","2,702.21","2,750.38","2,702.21",0.95%
02/17/2005,"2,702.42","2,683.17","2,706.82","2,683.17",0.75%
02/16/2005,"2,682.35","2,666.80","2,684.77","2,664.78",1.45%
02/15/2005,"2,644.13","2,651.33","2,653.67","2,638.39",-0.28%
02/14/2005,"2,651.44","2,658.11","2,665.08","2,646.82",-0.26%
02/13/2005,"2,658.32","2,648.55","2,667.24","2,648.55",0.40%
02/12/2005,"2,647.73","2,646.21","2,661.69","2,644.97",0.06%
02/10/2005,"2,646.21","2,616.74","2,648.63","2,612.62",1.13%
02/08/2005,"2,616.54","2,601.31","2,627.64","2,589.26",0.56%
02/07/2005,"2,601.93","2,616.57","2,619.85","2,596.87",-0.54%
02/06/2005,"2,616.16","2,630.75","2,650.81","2,615.72",-0.55%
02/05/2005,"2,630.75","2,618.87","2,633.90","2,617.92",0.45%
02/03/2005,"2,619.07","2,632.34","2,641.42","2,617.92",-0.52%
02/02/2005,"2,632.75","2,625.10","2,634.79","2,620.05",0.29%
02/01/2005,"2,625.10","2,602.47","2,628.51","2,594.15",0.92%
01/31/2005,"2,601.24","2,589.04","2,603.67","2,583.13",0.43%
01/30/2005,"2,590.06","2,621.19","2,621.60","2,589.04",-1.20%
01/29/2005,"2,621.60","2,615.11","2,633.53","2,612.88",0.27%
01/27/2005,"2,614.56","2,608.95","2,616.18","2,598.21",0.21%
01/26/2005,"2,609.15","2,627.57","2,631.46","2,592.99",-0.75%
01/25/2005,"2,628.80","2,655.69","2,674.64","2,625.44",-1.02%
01/24/2005,"2,655.89","2,637.38","2,690.32","2,637.38",0.73%
01/18/2005,"2,636.77","2,611.02","2,653.21","2,605.45",0.99%
01/17/2005,"2,610.81","2,617.08","2,638.89","2,604.47",1.39%
01/16/2005,"2,574.98","2,471.91","2,582.66","2,440.20",4.19%
01/15/2005,"2,471.50","2,655.05","2,656.65","2,471.50",-6.96%
01/13/2005,"2,656.48","2,721.68","2,722.56","2,640.35",-2.40%
01/12/2005,"2,721.68","2,746.13","2,752.19","2,720.12",-0.91%
01/11/2005,"2,746.74","2,735.89","2,752.52","2,721.70",0.05%
01/10/2005,"2,745.24","2,729.47","2,745.24","2,698.16",0.58%
01/09/2005,"2,729.47","2,766.91","2,788.04","2,729.27",-1.31%
01/08/2005,"2,765.68","2,695.26","2,768.23","2,695.26",2.69%
01/06/2005,"2,693.21","2,666.80","2,693.49","2,655.86",1.10%
01/05/2005,"2,663.93","2,653.83","2,672.02","2,626.98",0.42%
01/04/2005,"2,652.80","2,675.40","2,739.43","2,640.51",-2.35%
01/03/2005,"2,716.70","2,609.98","2,721.50","2,609.15",4.16%
01/02/2005,"2,608.11","2,516.20","2,612.58","2,516.20",3.70%
12/30/2004,"2,515.16","2,493.69","2,522.03","2,493.48",1.06%
12/29/2004,"2,488.70","2,448.94","2,492.14","2,448.94",1.65%
12/28/2004,"2,448.39","2,458.03","2,463.24","2,448.39",-0.39%
12/27/2004,"2,458.03","2,436.04","2,462.13","2,436.04",0.88%
12/26/2004,"2,436.59","2,409.10","2,437.25","2,402.82",1.15%
12/25/2004,"2,408.92","2,402.84","2,412.74","2,396.07",0.28%
12/23/2004,"2,402.10","2,395.13","2,403.33","2,343.48",0.28%
12/22/2004,"2,395.50","2,427.68","2,427.68","2,390.80",-1.32%
12/21/2004,"2,427.50","2,441.98","2,442.26","2,416.29",-0.64%
12/20/2004,"2,443.09","2,460.56","2,474.05","2,442.70",-0.64%
12/19/2004,"2,458.72","2,434.70","2,466.65","2,431.75",1.06%
12/18/2004,"2,433.04","2,404.59","2,438.34","2,395.44",0.27%
12/16/2004,"2,426.48","2,450.29","2,453.08","2,401.83",-0.94%
12/15/2004,"2,449.55","2,449.40","2,474.58","2,443.76",0.07%
12/14/2004,"2,447.91","2,359.52","2,447.91","2,359.52",3.77%
12/13/2004,"2,358.96","2,303.68","2,362.39","2,303.68",2.39%
12/12/2004,"2,303.87","2,274.61","2,307.25","2,274.61",1.31%
12/11/2004,"2,274.05","2,254.85","2,278.44","2,243.86",0.86%
12/09/2004,"2,254.66","2,253.99","2,284.36","2,245.90",1.06%
12/08/2004,"2,230.97","2,149.46","2,234.62","2,149.46",3.90%
12/07/2004,"2,147.23","2,119.39","2,147.82","2,117.79",1.30%
12/06/2004,"2,119.58","2,114.86","2,124.90","2,095.98",0.22%
12/05/2004,"2,114.86","2,108.95","2,141.21","2,096.30",0.29%
12/01/2004,"2,108.76","2,100.42","2,137.19","2,100.42",0.40%
11/30/2004,"2,100.42","2,089.82","2,102.80","2,078.82",0.50%
11/29/2004,"2,090.00","2,092.65","2,101.99","2,052.16",-0.14%
11/28/2004,"2,093.03","2,110.00","2,110.00","2,079.52",-0.79%
11/27/2004,"2,109.63","2,073.79","2,126.76","2,073.79",1.76%
11/25/2004,"2,073.05","2,016.39","2,077.75","2,016.39",2.81%
11/24/2004,"2,016.39","1,976.68","2,020.05","1,976.68",2.04%
11/23/2004,"1,976.07","1,960.16","1,976.07","1,956.07",0.73%
11/22/2004,"1,961.83","1,957.91","1,964.84","1,941.52",0.19%
11/21/2004,"1,958.10","1,938.23","1,961.96","1,938.23",1.04%
11/20/2004,"1,937.86","1,889.57","1,938.79","1,889.57",2.56%
11/18/2004,"1,889.57","1,834.60","1,889.57","1,834.60",3.00%
11/11/2004,"1,834.60","1,832.22","1,836.74","1,830.25",0.13%
11/10/2004,"1,832.22","1,842.83","1,848.30","1,832.22",-0.58%
11/09/2004,"1,842.83","1,830.48","1,844.52","1,826.76",0.89%
11/08/2004,"1,826.53","1,802.12","1,827.89","1,802.12",1.35%
11/07/2004,"1,802.12","1,771.69","1,802.54","1,759.67",1.53%
11/02/2004,"1,774.97","1,783.50","1,787.44","1,771.03",-0.41%
11/01/2004,"1,782.32","1,778.64","1,788.48","1,776.06",-0.02%
10/31/2004,"1,782.59","1,816.46","1,823.20","1,777.78",-1.82%
10/30/2004,"1,815.72","1,803.03","1,823.50","1,797.11",0.86%
10/28/2004,"1,800.19","1,752.22","1,806.64","1,752.22",2.93%
10/27/2004,"1,748.94","1,722.60","1,754.36","1,722.60",1.53%
10/26/2004,"1,722.60","1,717.92","1,723.07","1,711.89",0.32%
10/25/2004,"1,717.17","1,722.51","1,726.34","1,714.25",-0.20%
10/24/2004,"1,720.65","1,734.73","1,734.73","1,715.47",-1.33%
10/23/2004,"1,743.93","1,768.00","1,777.57","1,740.82",-1.87%
10/21/2004,"1,777.20","1,795.42","1,803.31","1,772.12",-0.97%
10/20/2004,"1,794.68","1,759.34","1,803.14","1,759.34",2.04%
10/19/2004,"1,758.78","1,705.41","1,764.38","1,705.10",3.04%
10/18/2004,"1,706.89","1,732.29","1,732.29","1,696.76",-1.48%
10/17/2004,"1,732.47","1,782.52","1,782.52","1,731.19",-2.41%
10/16/2004,"1,775.29","1,801.01","1,801.11","1,773.50",-1.28%
10/14/2004,"1,798.38","1,812.73","1,812.77","1,790.32",-0.77%
10/13/2004,"1,812.36","1,821.52","1,821.53","1,782.47",-0.50%
10/12/2004,"1,821.52","1,844.37","1,853.90","1,821.09",-1.19%
10/11/2004,"1,843.42","1,843.55","1,855.19","1,837.80",0.00%
10/10/2004,"1,843.37","1,856.79","1,858.27","1,833.53",-0.70%
10/09/2004,"1,856.41","1,881.66","1,882.22","1,849.84",-1.35%
10/07/2004,"1,881.85","1,885.26","1,892.26","1,872.59",-0.13%
10/06/2004,"1,884.33","1,889.40","1,893.34","1,879.33",-0.27%
10/05/2004,"1,889.40","1,895.65","1,904.56","1,881.19",-0.32%
10/04/2004,"1,895.47","1,895.38","1,908.12","1,887.55",0.01%
10/03/2004,"1,895.20","1,882.66","1,898.34","1,882.66",0.69%
10/02/2004,"1,882.29","1,853.25","1,886.66","1,849.15",1.61%
09/30/2004,"1,852.51","1,855.25","1,855.25","1,812.54",-0.13%
09/29/2004,"1,854.88","1,907.50","1,908.76","1,847.13",-2.78%
09/28/2004,"1,907.87","1,940.10","1,943.92","1,900.16",-1.62%
09/27/2004,"1,939.35","1,958.17","1,965.73","1,939.35",-0.94%
09/26/2004,"1,957.80","1,943.75","1,963.53","1,943.70",0.72%
09/25/2004,"1,943.75","1,927.59","1,951.50","1,917.38",0.84%
